timeline,mean_inst_0,mean_inst_1,mean_inst_2,mean_cumm_0,mean_cumm_1,mean_cumm_2,std_inst_0,std_inst_1,std_inst_2,std_cumm_0,std_cumm_1,std_cumm_2
0.0,0.729022222222,0.729022222222,0.729022222222,51.9534,51.9534,51.9534,0.0214218533855,0.0214218533855,0.0214218533855,32.0995470753,32.0995470753,32.0995470753
0.000500500500501,0.286865726366,0.286865726366,0.286865726366,1081.5913034,1081.5913034,1081.5913034,0.0797169149542,0.0797169149542,0.0797169149542,390.632289373,390.632289373,390.632289373
0.001001001001,0.232255916248,0.232255916248,0.232255916248,1766.85785265,1766.85785265,1766.85785265,0.0642854482607,0.0642854482607,0.0642854482607,713.866959093,713.866959093,713.866959093
0.0015015015015,0.194656755918,0.194170736306,0.194651731208,2323.21331231,2319.33943754,2323.03139099,0.0563968044296,0.0559660609145,0.056430685682,954.548819286,953.021171293,954.566628813
0.002002002002,0.173925959393,0.172573436593,0.174046386049,2812.14954795,2798.96162623,2810.67584024,0.0602781725274,0.0588043350989,0.0603525422824,1173.06379486,1164.45336265,1173.1155394
0.0025025025025,0.165572726526,0.164076044466,0.166065488923,3286.45628719,3265.6438963,3284.57099019,0.0619157851336,0.0601600400789,0.0621230912155,1402.82071261,1388.21400452,1405.37281343
0.003003003003,0.16070302087,0.160769809022,0.162821543756,3743.11242583,3728.14091111,3755.29478138,0.0621523728431,0.0617107895249,0.0636381796522,1623.22638823,1620.60834666,1645.65361019
0.0035035035035,0.15770969064,0.159868048896,0.161312523961,4196.2787991,4188.5732984,4217.42172753,0.0622732016387,0.0620105881086,0.0626543707736,1848.65328932,1856.84102072,1885.13534764
0.004004004004,0.15539374206,0.158373761798,0.159061759297,4637.30913554,4641.9719035,4671.16031912,0.0621140355117,0.0619185912954,0.0624815610115,2066.33809744,2089.93016525,2125.42441002
0.0045045045045,0.152755467943,0.156584805372,0.156925782905,5070.73952703,5091.4465045,5122.03691351,0.0634591145724,0.061484170095,0.0633944067209,2291.97233077,2322.87432159,2369.58611014
0.00500500500501,0.150211188046,0.155200233248,0.155507562077,5495.42311732,5540.32425185,5572.3150018,0.063993940655,0.0611558468979,0.0650617930371,2515.69538959,2557.89359424,2615.15689167
0.00550550550551,0.146344113676,0.153537015603,0.154541277684,5905.37452152,5984.40373123,6018.70776917,0.0650161907075,0.0611196836772,0.0655032079028,2736.56010321,2790.95485908,2858.34460245
0.00600600600601,0.142646665633,0.15180122781,0.153089359484,6305.83465766,6420.80128829,6459.53793093,0.064852846647,0.0618413837756,0.0659503602986,2950.37861835,3017.45347316,3101.88762281
0.00650650650651,0.139578012697,0.150164617029,0.151442100196,6700.63148308,6852.22208909,6895.71165335,0.0644652198186,0.0619390826182,0.0665497267289,3161.76828551,3242.67274568,3346.62815852
0.00700700700701,0.136811901731,0.149202518661,0.150593210113,7086.20471692,7279.80277738,7329.93870611,0.0647103950396,0.0622300126591,0.0672459016749,3374.27552286,3470.3244627,3592.17978878
0.00750750750751,0.134154149839,0.147672896587,0.149968504031,7465.01395195,7697.50374324,7759.63289069,0.0652053118403,0.0627056905483,0.0670853154927,3588.4520388,3704.60460928,3834.77283387
0.00800800800801,0.131838725127,0.146053625384,0.149151148435,7835.50104044,8106.55070971,8186.91343564,0.065680042782,0.0631274009492,0.0670213391923,3804.03163691,3929.00283578,4076.63188227
0.00850850850851,0.127586444995,0.144354356635,0.148168071751,8186.83355796,8511.34127407,8610.32618328,0.0663799202781,0.0630136670728,0.0667982472471,3999.10763228,4154.52633591,4320.49824954
0.00900900900901,0.123477326728,0.143022864157,0.146814280453,8529.28976396,8913.09826667,9026.82719099,0.0679352404751,0.0620875190098,0.065769332822,4191.6118018,4379.39160813,4564.19890029
0.00950950950951,0.12191804706,0.141707278688,0.145279940397,8868.41645285,9314.43194324,9441.00462022,0.0673722063893,0.0613562882341,0.0649284676229,4384.77433719,4605.61499607,4808.34169403
0.01001001001,0.119797944543,0.140159296255,0.14357585683,9200.02418579,9713.28521081,9852.20129309,0.0664253604156,0.0608448024688,0.0642416240159,4574.29690784,4834.06661894,5053.81882981
0.0105105105105,0.118261380195,0.13946949616,0.142314553561,9530.0703015,10111.5214796,10261.9666547,0.0662573536344,0.0607937400914,0.0639769538822,4766.70014646,5063.40203193,5299.98783461
0.011011011011,0.117288208275,0.138835288428,0.141148930287,9855.22065566,10509.4203954,10671.2350036,0.0660687553578,0.0607054375637,0.063889889208,4959.56435805,5293.25769626,5546.46189388
0.0115115115115,0.114547203724,0.138221630728,0.139761018134,10163.3169174,10905.5164534,11076.2053155,0.0652056832238,0.0603271288715,0.0629996038063,5136.87294179,5520.36008202,5784.06962776
0.012012012012,0.111128649453,0.137455899543,0.138877574237,10464.1385399,11297.9895219,11479.6013297,0.0652281356837,0.0592559858097,0.0620318370424,5308.77498692,5741.01181349,6019.62725517
0.0125125125125,0.10872993034,0.136674676086,0.138372657038,10757.4485903,11689.3425761,11882.4679826,0.0655144798959,0.0583284747471,0.061634246768,5478.66869405,5961.58692035,6255.45098879
0.013013013013,0.106038687705,0.136431044401,0.137909731303,11035.605046,12074.9327734,12282.496407,0.0663629227463,0.0581939610391,0.061484552619,5642.9017094,6170.22857659,6491.43895413
0.0135135135135,0.102793943198,0.136222197079,0.13738487747,11301.8250189,12459.9896027,12681.5216919,0.0676381271429,0.0581435472764,0.0614022307427,5808.45053446,6379.80610517,6727.90217632
0.014014014014,0.0990137762698,0.135968340043,0.136905520161,11554.8169814,12844.7847361,13080.5469768,0.0680647466459,0.0581652458267,0.0614966160242,5965.44462473,6590.36146625,6964.66775509
0.0145145145145,0.0955611178596,0.135823859767,0.136705845795,11798.9771722,13229.4607415,13479.5376385,0.0681499973637,0.0581265857688,0.061569763697,6115.89093258,6801.55469654,7201.74152042
0.015015015015,0.0931003321469,0.135696158237,0.13655887064,12039.6627808,13613.7710901,13878.1820643,0.0670241946564,0.0580768482787,0.0616344365318,6260.68957012,7013.58090329,7439.44692073
0.0155155155155,0.0908755536082,0.135469306323,0.136033547553,12272.6713448,13997.3425064,14273.6774175,0.0660220542442,0.0580496881351,0.0610520756948,6404.41774919,7226.1552565,7671.17857761
0.016016016016,0.0886113266653,0.134281118888,0.135317831838,12497.4165632,14373.6049846,14666.750569,0.0661236310485,0.0584982218149,0.060003667895,6547.7863703,7438.52412467,7897.37833031
0.0165165165165,0.0868680951338,0.13318704385,0.134667037958,12721.824688,14749.1509529,15059.1892826,0.0670850171534,0.0596373384802,0.0595024726852,6693.53616701,7651.32427803,8123.7711608
0.017017017017,0.0857056436235,0.132802423453,0.134018859487,12938.2410292,15124.3209922,15447.0723634,0.0658772578142,0.0600167214159,0.0591185867902,6827.38703508,7864.77809093,8343.04545302
0.0175175175175,0.0834725208713,0.132433607664,0.133229841639,13144.7110566,15498.5590183,15832.4904898,0.0647060681129,0.0597849138539,0.0589300682665,6959.24132523,8078.19986662,8558.05502681
0.018018018018,0.0816694270902,0.132111630097,0.133041540236,13348.4446072,15872.0958937,16217.6778865,0.0647542406812,0.0595380342454,0.058939396153,7092.97699698,8291.81957932,8773.01920388
0.0185185185185,0.0803681732327,0.131876823579,0.132857103294,13551.5152963,16245.0822111,16601.6872222,0.0652466873701,0.0594203824439,0.0590475314237,7229.05786684,8505.57498343,8988.58853516
0.019019019019,0.079364589875,0.131318703855,0.132253381987,13751.519436,16615.2810448,16982.1788673,0.0648810504622,0.0593384792932,0.0596484721113,7365.13538667,8720.30025938,9206.50925547
0.0195195195195,0.0785601233284,0.130230589217,0.131537027208,13949.1519048,16980.1497607,17362.148239,0.0638876106951,0.059329394588,0.0604912635026,7501.50486108,8936.85209235,9424.61954199
0.02002002002,0.077019200427,0.129157452906,0.130760883548,14140.4727682,17344.9407251,17736.9691209,0.0629068112266,0.0596975341895,0.0612238497278,7635.86912646,9153.98167895,9643.86025214
0.0205205205205,0.0753570151995,0.127982343856,0.13003659912,14330.1719999,17708.748453,18111.0065484,0.0627421783005,0.0601765730995,0.0621159161539,7771.35526355,9369.33854887,9863.65503634
0.021021021021,0.0741681346666,0.126702076543,0.129831668232,14514.8977586,18066.3465189,18484.4653562,0.062771252024,0.0590045216188,0.0621839924714,7909.32648854,9573.14598231,10084.0103085
0.0215215215215,0.0734521992324,0.125583281744,0.129526536827,14699.4836319,18422.6277736,18856.7301524,0.0627559682919,0.0575849736905,0.0622135710308,8048.88147348,9776.45585045,10303.9348363
0.022022022022,0.07272788391,0.125016849096,0.129372704657,14883.7670861,18778.2882232,19228.487827,0.0630274915619,0.0573115825934,0.0622273739325,8189.75611347,9979.03222089,10523.9738224
0.0225225225225,0.0722924363685,0.124728516976,0.129018666373,15067.6491405,19133.4265694,19599.3471631,0.0632915686699,0.0571976490736,0.0622308892302,8331.84750578,10181.8793914,10743.9390533
0.023023023023,0.0715447940233,0.124369321984,0.128850506601,15245.9014641,19487.519804,19969.4457205,0.0620736051906,0.0569129273392,0.062289132861,8468.02038523,10383.7038813,10963.8569411
0.0235235235235,0.0707284504371,0.124166381174,0.128764567117,15423.015946,19840.9399099,20339.3818619,0.0611313737802,0.0567699865617,0.0622896344164,8605.21903223,10585.3661902,11184.0945195
0.024024024024,0.0699081490452,0.123985727411,0.128678483516,15599.5981045,20194.1469676,20709.1037766,0.0605725499155,0.0566257670471,0.0622964752624,8743.89297169,10787.3020434,11404.4524152
0.0245245245245,0.0694530007576,0.123866196636,0.128592890525,15769.9356883,20547.3540252,21078.7419975,0.0604741752541,0.0565847020735,0.0623376734225,8879.45044345,10989.5740655,11625.1129488
0.025025025025,0.0691257785648,0.12374821645,0.128505855832,15939.9060545,20900.5610829,21448.1772324,0.0604484414814,0.0565467621743,0.0623789161594,9015.93182536,11192.1640298,11846.0841142
0.0255255255255,0.0687241979411,0.123629008474,0.12844201882,16109.3672646,21253.6988444,21817.5925811,0.0604165919421,0.0565154884816,0.0623853258685,9153.64131667,11395.0813796,12067.2866577
0.026026026026,0.06834863638,0.123445593388,0.128317601507,16278.5214737,21606.581449,22186.6667602,0.060453729367,0.0565566296272,0.0623734637316,9292.50658157,11598.4162711,12288.6834294
0.0265265265265,0.0676542688893,0.12293080327,0.128201712326,16444.6950878,21956.4536333,22555.1476414,0.0603027603747,0.0568492503314,0.0624164641567,9431.94630157,11803.8413033,12510.1742331
0.027027027027,0.0666921091097,0.122278587174,0.12812372077,16608.4988,22304.7053838,22923.1544595,0.0601940218716,0.0574289373786,0.0624221541511,9571.54560108,12010.4282403,12731.7524658
0.0275275275275,0.0657022811406,0.12163498155,0.127980902916,16771.180089,22652.3165493,23290.8725348,0.0603212154943,0.058090880114,0.0624274029222,9709.37012658,12216.7210314,12953.345418
0.028028028028,0.0639447749081,0.121476277165,0.127902815376,16926.3022116,22999.7450284,23658.1717892,0.0588600899316,0.0581116416989,0.0624354818357,9827.1499618,12423.0740707,13174.7370959
0.0285285285285,0.0628388807359,0.121367953888,0.127683648254,17081.1288345,23347.1556417,24024.8732102,0.0577576328527,0.0581035664148,0.0624440461453,9945.48733041,12629.6836804,13396.1469887
0.029029029029,0.0622511209525,0.121262574347,0.127437592763,17232.7337043,23694.4976214,24389.5272837,0.0573510852567,0.0580960719764,0.0624657969771,10066.1377661,12836.4986019,13619.1786332
0.0295295295295,0.061136873546,0.121126406416,0.127333686323,17378.5981337,24041.5129319,24753.3940612,0.0566772550202,0.0581067843446,0.062475446479,10187.0568059,13043.5752249,13843.2125377
0.03003003003,0.0600029677412,0.120849770493,0.127184181844,17524.0199556,24385.4838625,25116.6496318,0.0564506147217,0.0579942884207,0.0624801240013,10308.7441844,13246.7236859,14066.7642881
0.0305305305305,0.0588719476506,0.119744638658,0.12683051604,17669.1581543,24719.5177491,25478.7957942,0.0567042123021,0.05801275391,0.0625444449216,10431.3152823,13444.0039569,14290.0709168
0.031031031031,0.0580242198364,0.118700381428,0.126478475344,17813.8372248,25052.0229197,25839.7828997,0.0571683822906,0.0587439491582,0.0625514566198,10554.7354296,13641.4013505,14513.3540121
0.0315315315315,0.0577793954423,0.118037669383,0.126268844899,17958.1311883,25384.2251225,26199.9933432,0.0572665028718,0.0594780949666,0.0625492367381,10678.7792394,13839.0034153,14736.3155299
0.032032032032,0.0573948456539,0.117912478447,0.126046234071,18099.9360905,25716.2265349,26558.6127149,0.0569976226074,0.0594433655168,0.0626041784351,10804.7337264,14036.8363868,14958.983777
0.0325325325325,0.0568555818885,0.117805498425,0.125941404568,18240.394209,26048.0684933,26916.8349917,0.056720995588,0.0593932085928,0.0626390657686,10931.7043094,14234.8553934,15182.0592449
0.033033033033,0.0563175551656,0.117701468171,0.125778033057,18380.6021508,26379.9104517,27274.8757069,0.0566029310082,0.0593434146532,0.0627043225667,11058.8872578,14433.2136432,15405.4295856
0.0335335335335,0.0557863385809,0.117597437916,0.125663953187,18520.4160669,26711.75241,27632.6801497,0.0566609252433,0.0592953141745,0.0627465510556,11186.4240647,14631.8973394,15629.1113925
0.034034034034,0.0552479773665,0.117493020544,0.125501960228,18659.9170194,27043.551194,27990.3533908,0.0568793713566,0.059249604404,0.06278940944,11314.6641087,14830.8952947,15852.9437797
0.0345345345345,0.0549960759407,0.117377146792,0.125301761562,18799.1854285,27375.0958784,28347.6740324,0.0569866542389,0.0591983750814,0.0628648048036,11443.5561621,15030.3113484,16076.8942226
0.035035035035,0.0548972791449,0.117192762333,0.125109536726,18938.4090631,27706.282236,28704.6954486,0.0569831887967,0.0590384438273,0.0629372222564,11573.0366971,15230.0856758,16301.029477
0.0355355355355,0.0547925538899,0.117009626362,0.125001358379,19077.3929775,28037.4685937,29061.6172238,0.0569833278059,0.0588855537694,0.0629858751648,11703.0653396,15430.1364013,16525.3689449
0.036036036036,0.0547048893649,0.116807554128,0.124898218833,19216.0987153,28368.5625477,29418.4167297,0.0569616167525,0.0587869527712,0.0630221645062,11833.04647,15630.5007617,16749.8912873
0.0365365365365,0.054617854864,0.116696094775,0.124790325107,19354.551919,28699.5176521,29773.1961792,0.0569406502818,0.0587478723224,0.0630122320358,11963.607263,15831.1575361,16973.1642859
0.037037037037,0.0545109040033,0.116464085214,0.124692415525,19492.5812148,29029.845,30125.1576519,0.0569108337585,0.0586968669878,0.062989294802,12094.7262582,16031.5194624,17194.5273194
0.0375375375375,0.0541982814332,0.116291438143,0.124591618236,19628.3460874,29359.2892093,30476.800858,0.0563013645233,0.0586583277379,0.0629663099181,12224.6828874,16231.8120407,17416.024693
0.038038038038,0.0536660033606,0.116188108252,0.124494374739,19762.0249151,29686.9238144,30828.4440641,0.0553120140065,0.058628192925,0.0629483040741,12353.1513068,16434.2943218,17637.6445251
0.0385385385385,0.0531440939979,0.116069936236,0.124383914228,19894.972836,30014.4309398,31180.059133,0.0545052177556,0.0586181417584,0.06295307453,12482.3158657,16637.0855019,17859.417494
0.039039039039,0.0526287430582,0.115644037151,0.124245052649,20027.6856745,30340.2494018,31531.5353093,0.0538824429005,0.0587225005374,0.0629528167315,12612.0003261,16840.8827214,18081.4252146
0.0395395395395,0.052081046823,0.115061971887,0.124062185932,20154.8731093,30663.3026583,31880.9959906,0.0534213829815,0.0590837173976,0.0630117010279,12728.8068534,17046.3065142,18305.4547571
0.04004004004,0.051875723898,0.114514425438,0.123934596585,20281.759249,30986.286821,32229.900568,0.0533174742684,0.0595841419928,0.0630349741196,12845.6070965,17252.0544718,18530.1600227
